Treatment,gPerL,Block,binNum,NumPenetrate,logPenetrate,NumMortality,logMortality,NumTotal,logTotal
1:01,1,1,A,7,0.903089987,,,,
1:01,1,1,B,6,0.84509804,,,,
1:01,1,1,C,3,0.602059991,,,,
1:01,1,1,D,,,,,,
1:03,0.333,1,A,0,0,,,,
1:03,0.333,1,B,7,0.903089987,,,,
1:03,0.333,1,C,1,0.301029996,,,,
1:03,0.333,1,D,,,,,,
1:09,0.111,1,A,1,0.301029996,,,,
1:09,0.111,1,B,11,1.079181246,,,,
1:09,0.111,1,C,15,1.204119983,,,,
1:09,0.111,1,D,,,,,,
1:27,0.037,1,A,0,0,,,,
1:27,0.037,1,B,60,1.785329835,,,,
1:27,0.037,1,C,24,1.397940009,,,,
1:27,0.037,1,D,,,,,,
1:01,1,2,A,2,0.477121255,,,,
1:01,1,2,B,2,0.477121255,,,,
1:01,1,2,C,3,0.602059991,,,,
1:01,1,2,D,,,,,,
1:03,0.333,2,A,0,0,,,,
1:03,0.333,2,B,1,0.301029996,,,,
1:03,0.333,2,C,0,0,,,,
1:03,0.333,2,D,,,,,,
1:09,0.111,2,A,1,0.301029996,,,,
1:09,0.111,2,B,10,1.041392685,,,,
1:09,0.111,2,C,1,0.301029996,,,,
1:09,0.111,2,D,,,,,,
1:27,0.037,2,A,5,0.77815125,,,,
1:27,0.037,2,B,7,0.903089987,,,,
1:27,0.037,2,C,8,0.954242509,,,,
1:27,0.037,2,D,,,,,,
1:01,1,3,A,1,0.301029996,25,1.414973348,26,1.431363764
1:01,1,3,B,1,0.301029996,9,1,10,1.041392685
1:01,1,3,C,3,0.602059991,26,1.431363764,29,1.477121255
1:01,1,3,D,1,0.301029996,33,1.531478917,34,1.544068044
1:03,0.333,3,A,2,0.477121255,30,1.491361694,32,1.51851394
1:03,0.333,3,B,5,0.77815125,10,1.041392685,15,1.204119983
1:03,0.333,3,C,0,0,25,1.414973348,25,1.414973348
1:03,0.333,3,D,3,0.602059991,28,1.462397998,31,1.505149978
1:09,0.111,3,A,2,0.477121255,8,0.954242509,10,1.041392685
1:09,0.111,3,B,8,0.954242509,5,0.77815125,13,1.146128036
1:09,0.111,3,C,3,0.602059991,26,1.431363764,29,1.477121255
1:09,0.111,3,D,2,0.477121255,22,1.361727836,24,1.397940009
1:27,0.037,3,A,4,0.698970004,2,0.477121255,6,0.84509804
1:27,0.037,3,B,11,1.079181246,16,1.230448921,27,1.447158031
1:27,0.037,3,C,6,0.84509804,6,0.84509804,12,1.113943352
1:27,0.037,3,D,11,1.079181246,15,1.204119983,26,1.431363764
